Account Number,Annual Income ($1000),Household Size,Years of Post-High School Education,Hours Per Week Watching Television,Age,Gender (Assigned at Birth),Exceeded Credit Limit in Past 12 Months?,Annual Charges ($),,,,,,,,,,,Deviations from mean
23313578,134.2,4.0,5.0,29.0,47,Female,No,10023.52,67.60658,,,,,,,,,,-1327.23
14168784,133.1,7.0,3.0,46.0,60,Female,No,11248.76,4.5336,,,,,,,,,,81.16
498076,132.9,3.0,2.0,18.0,47,Male,No,6115.00,2.5248,,,,,,,,,,-26088.56
12286258,132.4,6.0,0.0,44.0,41,Male,No,9785.55,29.9,,,,,,,,,,9785.55
14458626,131.7,7.0,5.0,39.0,36,Female,No,12633.98,44.303,,,,,,,,,,6559.50
6587932,131.7,8.0,3.0,39.0,52,Female,No,3309.42,11350.74818,,,,,,,,,,3309.42
28612775,131.5,5.0,4.0,40.0,49,Female,No,18927.68,,,,,,,,,,,18927.68
23618891,130.9,8.0,5.0,27.0,46,Female,No,15762.55,65.5,,,,,,,,,,15762.55
6620536,130.9,1.0,4.0,15.0,40,Male,No,0.00,5,,,,,,,,,,0.00
25744803,130.7,3.0,1.0,3.0,60,Male,No,11294.90,3,,,,,,,,,,11294.90
26373139,130.5,4.0,5.0,58.0,53,Female,Yes,21484.52,30.0,,,,,,,,,,21484.52
18241851,130.4,3.0,5.0,19.0,30,Male,No,11023.75,44,,,,,,,,,,11023.75
29558287,130.2,6.0,1.0,33.0,35,Male,No,20523.11,11167.595,,,,,,,,,,20523.11
14427717,129.8,3.0,3.0,27.0,33,Female,No,17274.75,,,,,,,,,,,17274.75
19206708,129.5,5.0,3.0,23.0,29,Male,No,25181.64,134.2,,,,,,,,,,25181.64
13775672,129.4,6.0,2.0,36.0,19,Male,No,11498.39,8,,,,,,,,,,11498.39
28207255,129.3,4.0,0.0,59.0,24,Male,No,16442.82,5,,,,,,,,,,16442.82
26411517,129.2,4.0,0.0,6.0,39,Male,No,4410.32,60.0,,,,,,,,,,4410.32
22411321,129.2,4.0,4.0,30.0,28,Male,Yes,15200.75,70,,,,,,,,,,15200.75
29587727,128.9,7.0,3.0,46.0,33,Female,No,16624.83,32203.56,,,,,,,,,,16624.83
25774035,128.8,4.0,4.0,53.0,65,Female,No,11055.97,,,,,,,,,,,11055.97
202180,128.8,2.0,3.0,57.0,43,Female,No,6595.49,5.4,,,,,,,,,,6595.49
1412960,128.6,3.0,3.0,27.0,29,Male,No,9007.33,1,,,,,,,,,,9007.33
7418245,128.5,7.0,1.0,9.0,26,Male,No,20757.31,0,,,,,,,,,,20757.31
10107002,127.9,6.0,0.0,17.0,60,Female,No,9886.82,0.0,,,,,,,,,,9886.82
26588030,127.9,7.0,5.0,20.0,54,Other,No,939.95,19,,,,,,,,,,939.95
26296381,127.8,5.0,1.0,32.0,50,Male,No,5236.84,0,,,,,,,,,,5236.84
26868036,127.7,1.0,4.0,18.0,55,Female,No,1408.93,,,,,,,,,,,1408.93
13898458,127.4,4.0,3.0,38.0,23,Female,No,8598.72,28.10816032,2.07319335,1.505668744,17.32029284,10.72118369,6074.479642,,,,,8598.72
11423261,127.1,5.0,3.0,46.0,61,Female,No,9471.39,,,,,,,,,,,9471.39
29896806,127.0,8.0,4.0,14.0,42,Male,No,1188.50,,,,,,,,,,,1188.50
29336958,127.0,8.0,1.0,16.0,56,Female,No,8496.08,,,,,,,,,,,8496.08
25494293,126.9,1.0,3.0,18.0,56,Female,No,15463.32,,,,,,,,,,,15463.32
25239019,126.9,8.0,5.0,22.0,36,Female,Yes,20736.38,,,,,,,,,,,20736.38
13964728,126.8,4.0,4.0,17.0,40,Female,No,1237.09,,,,,,,,,,,1237.09
12936145,126.8,8.0,1.0,16.0,54,Male,No,19291.62,,,,,,,,,,,19291.62
9742628,126.8,7.0,3.0,53.0,60,Female,No,19200.32,,,,,,,,,,,19200.32
25804252,126.5,5.0,2.0,20.0,56,Male,No,8694.30,,,,,,,,,,,8694.30
21467566,126.2,6.0,0.0,11.0,27,Female,No,2502.03,,,,,,,,,,,2502.03
2948494,126.1,6.0,2.0,21.0,38,Male,No,1716.98,,,,,,,,,,,1716.98
859874,126.1,3.0,2.0,56.0,46,Male,Yes,862.50,,,,,,,,,,,862.50
6733609,125.5,5.0,3.0,21.0,26,Male,No,10910.00,,,,,,,,,,,10910.00
18368006,125.5,3.0,2.0,15.0,57,Female,No,9562.92,,,,,,,,,,,9562.92
28865347,125.5,5.0,4.0,59.0,38,Male,No,21031.75,,,,,,,,,,,21031.75
23958869,125.4,5.0,4.0,54.0,53,Male,No,8989.74,,,,,,,,,,,8989.74
25490051,125.4,6.0,0.0,56.0,44,Male,No,23658.83,,,,,,,,,,,23658.83
14065877,125.4,6.0,3.0,23.0,57,Male,No,13964.96,,,,,,,,,,,13964.96
21437302,125.3,6.0,2.0,38.0,37,Male,No,8914.84,,,,,,,,,,,8914.84
24184521,125.1,1.0,3.0,46.0,43,Male,No,10087.41,,,,,,,,,,,10087.41
14880022,125.1,6.0,2.0,42.0,30,Female,No,5053.99,,,,,,,,,,,5053.99
24346545,125.0,4.0,2.0,7.0,25,Female,No,10773.19,,,,,,,,,,,10773.19
25139767,125.0,1.0,0.0,14.0,34,Male,No,9498.55,,,,,,,,,,,9498.55
8424632,124.9,5.0,0.0,43.0,56,Female,No,17047.29,,,,,,,,,,,17047.29
4781882,124.8,7.0,4.0,23.0,42,Female,No,8283.89,,,,,,,,,,,8283.89
28239888,124.8,6.0,0.0,38.0,57,Female,Yes,14795.85,,,,,,,,,,,14795.85
15048884,124.7,1.0,1.0,16.0,28,Male,No,11478.03,,,,,,,,,,,11478.03
4659321,124.7,6.0,2.0,5.0,40,Male,No,23127.27,,,,,,,,,,,23127.27
23075630,124.7,5.0,4.0,3.0,46,Male,No,8293.65,,,,,,,,,,,8293.65
4724635,124.6,4.0,3.0,10.0,41,Female,No,5448.48,,,,,,,,,,,5448.48
7794950,124.5,2.0,4.0,20.0,46,Male,No,14488.95,,,,,,,,,,,14488.95
372971,124.5,4.0,3.0,54.0,38,Male,No,5718.26,,,,,,,,,,,5718.26
11008291,124.5,3.0,0.0,34.0,36,Female,No,18336.19,,,,,,,,,,,18336.19
5458297,124.4,8.0,2.0,21.0,45,Male,No,7751.03,,,,,,,,,,,7751.03
9805512,124.4,4.0,0.0,60.0,57,Female,No,15915.42,,,,,,,,,,,15915.42
1046640,124.3,5.0,2.0,27.0,34,Female,No,3649.49,,,,,,,,,,,3649.49
25767927,124.2,7.0,4.0,8.0,41,Female,No,19459.40,,,,,,,,,,,19459.40
12663249,124.2,4.0,1.0,46.0,31,Female,No,14838.47,,,,,,,,,,,14838.47
8459859,124.2,6.0,4.0,49.0,36,Other,Yes,10440.05,,,,,,,,,,,10440.05
21754363,124.1,6.0,5.0,39.0,38,Male,No,5582.47,,,,,,,,,,,5582.47
29355312,124.1,1.0,2.0,4.0,54,Female,No,7289.82,,,,,,,,,,,7289.82
2000496,124.0,3.0,1.0,16.0,57,Female,No,6700.83,,,,,,,,,,,6700.83
8799951,123.9,5.0,5.0,34.0,46,Female,No,17472.88,,,,,,,,,,,17472.88
27033290,123.9,6.0,4.0,15.0,60,Female,No,20736.25,,,,,,,,,,,20736.25
18638518,123.8,7.0,2.0,10.0,57,Female,No,19718.98,,,,,,,,,,,19718.98
6013029,123.8,4.0,5.0,50.0,50,Female,No,13959.69,,,,,,,,,,,13959.69
22400666,123.6,6.0,2.0,17.0,57,Male,No,9025.36,,,,,,,,,,,9025.36
25744338,123.5,1.0,3.0,13.0,57,Female,No,11288.56,,,,,,,,,,,11288.56
